Asset,w,Alpha,t-value,iKelly-weight,Valuation Score100,Tenbagger Probability100,Return100,Growth Rate100,Defensive Score100,Risk Score100,Bankruptcy Score100,Future Moat Score100,AI Winner Score100,Good Business Score100,Tariff Winner Score100,Sentiment Score100,Good Governance Score100,Market Disruptor Score100,Oversold Score100,Management Score100,Better World Score100,Marketability Score100,Clean Earnings Score100,Scalability Score100,hard-sell,Cat-Integrity,Cat-Market,Cat-Quality,Cat-Resilience,Cat-Upside
KLA Corporation,0.018452817790325107,0.0031458333333333,0.0798494727441738,2.0267883329873015,0.375,0.6691071428571428,0.0858928571428571,0.1163214285714285,0.2946428571428572,0.6339285714285714,0.9944642857142858,0.8035714285714286,0.7678571428571428,1.0,0.4285714285714286,0.7589285714285714,0.875,0.875,0.2946428571428572,0.9910714285714286,0.7232142857142857,1.0,0.7946428571428572,0.5535714285714286,0.0,1.0,0.69,0.63,0.8556701030927835,0.27
MediaTek Inc.,0.018201843172965047,-0.0044833333333333,-0.1410473526022757,-4.437402753035845,0.7053571428571428,0.5203571428571429,0.1482142857142857,0.1363571428571428,0.4910714285714286,0.5267857142857143,0.9938214285714286,0.75,0.7767857142857144,0.7767857142857144,0.6428571428571429,0.7589285714285714,0.9732142857142856,0.9910714285714286,0.5267857142857143,0.9910714285714286,0.2678571428571428,0.8035714285714286,0.7767857142857144,0.7142857142857143,0.0,0.9,0.9,0.47,0.8969072164948454,0.61
FORTINET INC,0.017927913371052377,0.0240625,0.5880681534934562,14.371912858314936,0.3125,0.6295357142857143,0.0892142857142857,0.1701785714285714,0.7589285714285714,0.5625,0.9985357142857143,0.7589285714285714,0.7589285714285714,1.0,0.3392857142857143,0.5178571428571428,0.75,1.0,0.5,1.0,0.5178571428571428,0.9910714285714286,0.7321428571428572,0.7857142857142856,0.0,0.96,0.62,0.72,0.8865979381443299,0.5
NETEASE INC,0.01759921599681695,0.0019583333333333,0.0543313290797934,1.5073497802094329,0.7232142857142857,0.4314285714285714,0.1261071428571428,0.1271428571428571,0.5,0.7232142857142857,0.994,0.75,0.625,0.8035714285714286,0.3571428571428571,0.75,0.75,0.7232142857142857,0.2678571428571428,1.0,0.2321428571428571,0.9553571428571428,0.7589285714285714,0.7410714285714286,0.0,0.84,0.88,0.31,0.979381443298969,0.43
TRADE DESK INC,0.017515896969642335,0.040625,0.7692814654120642,14.567236259114656,0.3303571428571428,0.6115,0.16,0.2123214285714286,0.2678571428571428,0.5,0.9923571428571429,0.8035714285714286,0.8035714285714286,1.0,0.5,0.7410714285714286,0.25,0.9642857142857144,0.7232142857142857,0.3392857142857143,0.2767857142857143,0.875,0.7410714285714286,0.9642857142857144,0.0,0.42,0.7,0.87,0.5154639175257731,0.93
Nu Holdings,0.017473620156886603,0.03984375,0.7714670529586455,14.937384503233194,0.5446428571428572,0.6008928571428571,0.1940357142857143,0.3193571428571428,0.2678571428571428,0.5,0.9673214285714286,0.7589285714285714,0.7678571428571428,0.8035714285714286,0.5714285714285714,0.7410714285714286,0.2857142857142857,1.0,0.4821428571428572,0.7589285714285714,0.4910714285714286,0.7589285714285714,0.5178571428571428,0.9464285714285714,0.0,0.68,0.81,0.65,0.7731958762886598,0.99
META PLATFORMS INC,0.01725437707951197,-0.0011895833333333,-0.037586558395892,-1.1876001726496384,0.3839285714285714,0.6298214285714286,0.12125,0.1293214285714285,0.2946428571428572,0.5178571428571428,0.9981785714285715,0.75,0.875,0.9821428571428572,0.3214285714285714,0.7321428571428572,0.125,0.7321428571428572,0.25,0.2946428571428572,0.0089285714285713,1.0,0.7142857142857143,0.7857142857142856,0.0,0.14,0.68,0.67,0.5670103092783505,0.51
"Synopsys, Inc.",0.017204625709780524,0.0211458333333333,0.5483763374617208,14.221080945242056,0.2589285714285714,0.5939285714285714,0.1306428571428571,0.1532142857142857,0.25,0.5357142857142857,0.9937142857142858,0.9732142857142856,1.0,1.0,0.5178571428571429,0.7232142857142857,0.6875,0.9464285714285714,0.5267857142857143,0.75,0.2857142857142857,0.9821428571428572,0.6875,0.9910714285714286,0.0,0.71,0.45,0.98,0.7010309278350515,0.58
AMAZON.COM INC,0.01713089093167906,0.0045625,0.1333643089995477,3.89830989916205,0.3303571428571428,0.5782142857142857,0.1333928571428571,0.1782857142857143,0.2589285714285714,0.5446428571428572,0.999,0.9642857142857144,1.0,0.9821428571428572,0.4642857142857143,0.7410714285714286,0.25,1.0,0.3125,0.8035714285714286,0.0089285714285713,1.0,0.6875,0.9553571428571428,0.0,0.32,0.66,0.96,0.44329896907216493,0.69
Lululemon Athletica Inc.,0.01710294919622258,-0.0013479166666666,-0.0327163829825469,-0.7940859712845888,0.7410714285714286,0.4507142857142857,0.0973571428571428,0.1168928571428571,0.375,0.5089285714285714,0.9955714285714286,0.75,0.4732142857142857,0.75,0.3571428571428571,0.4732142857142857,0.25,0.7410714285714286,0.7767857142857144,0.75,0.25,1.0,0.75,0.6964285714285714,0.0,0.52,0.97,0.185,0.6494845360824743,0.22
APPLIED MATERIALS INC,0.016956317957385326,-0.0037291666666666,-0.1146561718152232,-3.525194476510925,0.4732142857142857,0.4332142857142857,0.1004642857142857,0.0977857142857142,0.3035714285714286,0.5178571428571428,0.9929285714285715,0.7767857142857144,0.9910714285714286,0.9821428571428572,0.5178571428571429,0.75,0.7410714285714286,1.0,0.5089285714285714,0.2857142857142857,0.2232142857142857,1.0,0.7589285714285714,0.5535714285714286,0.0,0.49,0.77,0.77,0.7835051546391752,0.16
KUAISHOU TECHNOLOGY,0.01677120201723603,-0.0027604166666666,-0.0987425341113296,-3.5321073664218954,0.7321428571428572,0.3808928571428571,0.1176428571428571,0.1427142857142856,0.4553571428571428,0.5267857142857143,0.9846428571428572,0.5,0.7142857142857143,0.7946428571428572,0.5892857142857143,0.7410714285714286,0.6607142857142857,0.7589285714285714,0.2767857142857143,0.7142857142857143,0.25,0.75,0.4910714285714286,0.7053571428571428,0.0,0.41,0.89,0.2,0.9690721649484536,0.4
"Cadence Design Systems, Inc.",0.01600115936801355,0.0193333333333333,0.3584739852224148,6.646737831788279,0.2321428571428571,0.3866071428571428,0.1099642857142857,0.1366428571428571,0.7767857142857144,0.6339285714285714,0.99775,0.9464285714285714,1.0,1.0,0.6428571428571429,0.7410714285714286,0.7589285714285714,0.9821428571428572,0.5178571428571428,0.9821428571428572,0.625,1.0,0.7232142857142857,0.9553571428571428,0.0,0.95,0.38,0.97,0.9484536082474226,0.32
"ServiceNow, Inc.",0.01569067004119416,0.0350208333333333,0.7657511316391711,16.74359916069019,0.2321428571428571,0.4185714285714286,0.1432142857142857,0.1939999999999999,0.4553571428571428,0.5089285714285714,0.9985714285714286,0.7946428571428572,0.8035714285714286,1.0,0.5892857142857143,0.7410714285714286,0.2857142857142857,1.0,0.4732142857142857,0.6696428571428572,0.4642857142857143,1.0,0.6964285714285714,0.9821428571428572,0.0,0.6,0.35,0.95,0.5154639175257731,0.75
ADYEN NV,0.015680474256701864,0.0165791666666666,0.3722804788734117,8.35945242222971,0.2767857142857143,0.36875,0.1525714285714285,0.2141071428571428,0.2857142857142857,0.5178571428571428,0.99825,0.7946428571428572,0.7857142857142856,1.0,0.5357142857142857,0.6785714285714286,0.4107142857142857,1.0,0.5357142857142857,0.9821428571428572,0.4910714285714286,0.7678571428571428,0.9553571428571428,0.9910714285714286,0.0,0.915,0.51,0.9,0.5360824742268041,0.78
ACM Research Inc.,0.01563650772021224,0.0512291666666666,0.5820213242138566,6.612421085117222,0.7410714285714286,0.2603571428571428,0.1456428571428571,0.1503571428571428,0.1964285714285714,0.5089285714285714,0.9461785714285715,0.7410714285714286,0.6071428571428572,0.7946428571428572,0.7321428571428571,0.7232142857142857,0.25,0.9642857142857144,0.4642857142857143,0.75,0.2678571428571428,0.5178571428571428,0.5089285714285714,0.3035714285714286,0.0,0.37,0.93,0.24,0.6907216494845361,0.37
"DexCom, Inc.",0.0155750284439819,0.0204166666666666,0.3909465834620159,7.486003156928472,0.2678571428571428,0.4339285714285714,0.1551785714285714,0.2081071428571428,0.7142857142857143,0.5178571428571428,0.9850714285714286,0.7767857142857144,0.7232142857142857,0.9821428571428572,0.3214285714285714,0.75,0.7321428571428572,0.9464285714285714,0.4910714285714286,0.25,0.2589285714285714,1.0,0.7321428571428572,0.7142857142857143,0.0,0.53,0.46,0.48,0.9896907216494846,0.83
APPLOVIN CORP,0.015478932587770586,0.022875,0.6048356183251518,15.9923989156183,0.4553571428571428,0.3616071428571428,0.18,0.2370714285714286,0.0,0.4821428571428572,0.9685714285714286,0.7232142857142857,0.7857142857142856,1.0,0.3392857142857143,0.75,0.0178571428571428,0.2857142857142857,0.625,0.2410714285714286,0.0,0.7946428571428572,0.3303571428571428,0.7857142857142856,0.0,0.02,0.74,0.62,0.18556701030927836,0.86
Constellation Software Inc.,0.015307065703191774,0.0494791666666666,0.8529758514044541,14.704528230652365,0.2232142857142857,0.3710714285714286,0.1331785714285714,0.1763928571428571,0.5357142857142857,0.5178571428571428,0.9898214285714286,0.9553571428571428,0.4910714285714286,1.0,0.7142857142857143,0.75,0.3214285714285714,1.0,0.4553571428571428,1.0,0.4464285714285714,0.8035714285714286,0.7321428571428572,0.9553571428571428,0.0,0.85,0.32,0.68,0.9381443298969072,0.6
Li Auto Inc.,0.015124401303242885,0.0265229166666666,0.8562162312245858,27.640483278137467,0.6875,0.3471428571428571,0.1513928571428571,0.2345714285714285,0.2410714285714286,0.4910714285714286,0.9313571428571429,0.7053571428571428,0.5178571428571428,0.7232142857142857,0.4464285714285714,0.5446428571428572,0.3214285714285714,0.7857142857142856,0.5267857142857143,0.3392857142857143,0.5,0.75,0.5535714285714286,0.2589285714285714,0.0,0.61,0.86,0.065,0.6597938144329897,0.72
Vertex Pharmaceuticals Inc.,0.014994830807725975,0.0002958333333333,0.0083530611790219,0.2358545275283937,0.2946428571428572,0.3183928571428571,0.1245,0.1532142857142857,0.4821428571428572,0.5,0.9953928571428572,0.9732142857142856,0.7142857142857143,0.9642857142857144,0.7321428571428571,0.7232142857142857,0.3571428571428572,1.0,0.7232142857142857,0.7946428571428572,0.2857142857142857,1.0,0.7678571428571428,0.5,0.0,0.81,0.59,0.55,0.5824742268041238,0.3
"Intuitive Surgical, Inc.",0.014993483014332839,0.009375,0.1919875636608309,3.931650624044973,0.25,0.2703571428571428,0.0978214285714285,0.1386785714285714,0.9732142857142856,0.5446428571428572,0.99875,0.7678571428571428,0.7857142857142856,1.0,0.3035714285714286,0.7410714285714286,0.7321428571428572,1.0,0.6071428571428572,0.9732142857142856,0.4732142857142857,1.0,0.9464285714285714,0.7142857142857143,0.0,0.93,0.44,0.71,0.8402061855670103,0.09
MICROSOFT CORP,0.014944403124622453,-0.001875,-0.0391643971314359,-0.8180533347567076,0.2678571428571428,0.2302499999999999,0.1160714285714285,0.1489285714285714,0.6964285714285714,0.8928571428571428,0.9990714285714286,1.0,1.0,1.0,0.6071428571428571,0.7410714285714286,0.7053571428571428,1.0,0.25,0.9821428571428572,0.2321428571428571,1.0,0.8660714285714286,0.9910714285714286,0.0,0.79,0.43,1.0,0.8144329896907216,0.1
WORKDAY INC,0.014934873264468816,-0.0042291666666666,-0.1584509786395609,-5.936562592749066,0.2142857142857143,0.3614285714285714,0.1383928571428571,0.1734642857142857,0.5089285714285714,0.5357142857142857,0.9961071428571429,0.7678571428571428,0.7767857142857144,1.0,0.6428571428571429,0.7410714285714286,0.3035714285714286,1.0,0.7053571428571428,1.0,0.2767857142857143,0.9821428571428572,0.4732142857142857,0.7589285714285714,0.0,0.69,0.3,0.76,0.8402061855670103,0.56
BROADCOM INC,0.014914946945399106,0.0091604166666666,0.1630539884306662,2.902335571687732,0.2053571428571428,0.3867857142857143,0.1497142857142857,0.2497857142857142,0.2589285714285714,0.5357142857142857,0.9881785714285715,0.7678571428571428,1.0,1.0,0.4642857142857143,0.7589285714285714,0.25,0.9821428571428572,0.2857142857142857,0.9464285714285714,0.25,1.0,0.7232142857142857,0.75,0.0,0.57,0.21,0.86,0.8041237113402062,0.82
"Airbnb, Inc.",0.014651870025373421,-0.0026375,-0.0861326169334611,-2.8128256681730237,0.4553571428571428,0.3508928571428572,0.1133928571428571,0.1313214285714285,0.2678571428571428,0.5,0.9847857142857143,0.7410714285714286,0.7410714285714286,0.8035714285714286,0.4285714285714286,0.5089285714285714,0.25,0.75,0.5089285714285714,0.9732142857142856,0.0535714285714286,0.9821428571428572,0.6071428571428572,0.9464285714285714,0.0,0.36,0.71,0.44,0.6237113402061856,0.21
Shopify Inc.,0.014643835503687024,0.0118979166666666,0.3579110520883907,10.766617786616878,0.2053571428571428,0.3791785714285714,0.1464285714285714,0.204,0.1339285714285714,0.5178571428571428,0.9937142857142858,0.75,0.7767857142857144,0.9910714285714286,0.375,0.7232142857142857,0.2321428571428571,1.0,0.4821428571428572,0.6964285714285714,0.2410714285714286,0.9910714285714286,0.5089285714285714,0.9553571428571428,0.0,0.21,0.2,0.74,0.38144329896907214,0.74
MASTERCARD INC,0.01455375509341623,0.00063125,0.0140424244223548,0.3123796968832463,0.2053571428571428,0.2473214285714285,0.1260357142857142,0.1433928571428571,0.7589285714285714,0.6696428571428572,0.9988571428571429,0.9732142857142856,0.7678571428571428,1.0,0.4464285714285714,0.7232142857142857,0.7053571428571428,0.7678571428571428,0.4910714285714286,0.9464285714285714,0.5178571428571428,1.0,1.0,1.0,0.0,0.97,0.22,0.82,0.8762886597938144,0.14
ZSCALER INC,0.014410634792933202,0.058875,1.0147798770005112,17.490924819790617,0.2142857142857143,0.3473214285714286,0.1483928571428571,0.2613571428571428,0.25,0.5,0.97925,0.75,0.9821428571428572,0.9642857142857144,0.7321428571428571,0.7767857142857144,0.2767857142857143,1.0,0.2857142857142857,0.5,0.5178571428571428,0.7857142857142856,0.4732142857142857,0.7678571428571428,0.0,0.46,0.245,0.78,0.6391752577319587,0.77
MARVELL TECHNOLOGY INC,0.014359627440149101,0.0154604166666666,0.4103800671937614,10.893095780080712,0.2232142857142857,0.3630357142857143,0.1839285714285714,0.3763571428571428,0.0089285714285713,0.5267857142857143,0.9389285714285716,0.75,0.9642857142857144,0.9642857142857144,0.4285714285714286,0.75,0.7589285714285714,0.9910714285714286,0.6964285714285714,0.2678571428571428,0.5357142857142857,0.9464285714285714,0.5892857142857143,0.75,0.0,0.72,0.34,0.69,0.7628865979381443,0.96
"Paycom Software, Inc.",0.014253804869175385,0.0217083333333333,0.4444494849677825,9.09951683784079,0.2946428571428572,0.4282142857142857,0.1030357142857142,0.1280714285714285,0.2767857142857143,0.5,0.9984642857142858,0.7857142857142856,0.7410714285714286,0.7678571428571428,0.6071428571428571,0.5089285714285714,0.25,0.875,0.6964285714285714,0.9821428571428572,0.2589285714285714,0.9910714285714286,0.7232142857142857,0.7946428571428572,0.0,0.66,0.575,0.525,0.30927835051546393,0.29
PALO ALTO NETWORKS INC,0.01415439247238306,0.0223125,0.5467274596183913,13.396567623564351,0.1964285714285714,0.25275,0.1397499999999999,0.1788928571428571,0.625,0.5089285714285714,0.9901071428571429,0.7678571428571428,0.9821428571428572,0.9910714285714286,0.6785714285714286,0.75,0.3392857142857143,1.0,0.4642857142857143,0.875,0.4821428571428572,0.9821428571428572,0.5446428571428572,0.75,0.0,0.74,0.17,0.83,0.865979381443299,0.47
Atlassian Corporation Plc,0.013881916897831395,0.01978125,0.4192515194881946,8.885780048943321,0.2142857142857143,0.30625,0.1213571428571428,0.1889285714285714,0.25,0.5089285714285714,0.9289285714285715,0.7678571428571428,0.7589285714285714,0.9821428571428572,0.5178571428571429,0.7321428571428572,0.2767857142857143,0.9910714285714286,0.7053571428571428,0.6517857142857143,0.4910714285714286,0.9464285714285714,0.4732142857142857,0.9821428571428572,0.0,0.43,0.29,0.7,0.9072164948453608,0.41
GITLAB INC,0.013797377863752486,0.0321666666666666,0.7183266649091564,16.04123930112471,0.25,0.2891071428571428,0.1394642857142857,0.1639285714285714,0.2410714285714286,0.4732142857142857,0.9783928571428572,0.7410714285714286,0.7767857142857144,0.9553571428571428,0.6071428571428571,0.5535714285714286,0.2142857142857143,0.9642857142857144,0.75,0.2410714285714286,0.4642857142857143,0.7321428571428572,0.3035714285714286,0.7767857142857144,0.0,0.17,0.42,0.59,0.35051546391752575,0.45
Sea Limited,0.013725728831120642,0.0086249999999999,0.2445075551966141,6.9314718316783,0.2767857142857143,0.4328571428571428,0.145,0.2190714285714285,0.2142857142857143,0.4821428571428572,0.9626785714285715,0.625,0.7142857142857143,0.7946428571428572,0.7321428571428571,0.7410714285714286,0.25,0.7946428571428572,0.5089285714285714,0.875,0.2767857142857143,0.75,0.4375,0.5535714285714286,0.0,0.4,0.49,0.23,0.3917525773195876,0.8
ADVANCED MICRO DEVICES INC,0.01369944228459409,0.0298812499999999,0.9000903565772352,27.112742940918956,0.2142857142857143,0.4053571428571428,0.1608928571428571,0.2564285714285714,0.125,0.6875,0.9955714285714286,0.75,0.9732142857142856,0.7589285714285714,0.2857142857142857,0.7410714285714286,0.7946428571428572,0.9642857142857144,0.2767857142857143,1.0,0.4732142857142857,1.0,0.5357142857142857,0.7053571428571428,0.0,0.86,0.23,0.56,0.4845360824742268,0.94
INTUIT INC,0.013454051352097506,-0.0028749999999999,-0.0614866088819567,-1.3149923728009452,0.2410714285714286,0.3826785714285713,0.1311071428571428,0.1568571428571428,0.5178571428571428,0.7142857142857143,0.9967142857142858,0.9553571428571428,0.7678571428571428,0.7589285714285714,0.5535714285714286,0.7589285714285714,0.7857142857142856,0.2053571428571428,0.25,0.75,0.25,1.0,0.7410714285714286,0.9553571428571428,0.0,0.73,0.39,0.6,0.9226804123711341,0.54
"MongoDB, Inc.",0.013001683111902454,0.048875,0.9764482875429328,19.507954132900792,0.2857142857142857,0.2716071428571428,0.1389285714285714,0.1643928571428571,0.2232142857142857,0.5178571428571428,0.9871785714285715,0.75,0.7767857142857144,0.7678571428571428,0.5178571428571429,0.7410714285714286,0.25,0.75,0.7321428571428572,0.7142857142857143,0.5357142857142857,0.9464285714285714,0.5089285714285714,0.75,0.0,0.59,0.54,0.45,0.6082474226804123,0.42
Celsius Holdings Inc.,0.01288939871380408,-0.005,-0.0647948903716394,-0.8396755636545538,0.2053571428571428,0.3578571428571429,0.1518571428571428,0.2860357142857143,0.25,0.375,0.9767857142857143,0.7053571428571428,0.0089285714285713,0.9553571428571428,0.4821428571428571,0.0892857142857143,0.2053571428571428,0.7232142857142857,0.2678571428571428,0.2053571428571428,0.2321428571428571,0.6875,0.4821428571428572,0.4732142857142857,0.0,0.07,0.15,0.11,0.32989690721649484,0.81
NUTANIX INC A,0.012811890547679745,-0.0013958333333333,-0.0353781663413409,-0.8966791548720662,0.2232142857142857,0.3366071428571428,0.1367857142857143,0.2565714285714285,0.2678571428571428,0.5178571428571428,0.9448214285714286,0.7053571428571428,0.75,0.8035714285714286,0.6428571428571429,0.75,0.25,1.0,0.4732142857142857,0.875,0.4821428571428572,0.7589285714285714,0.5267857142857143,0.7410714285714286,0.0,0.635,0.31,0.41,0.9587628865979382,0.65
iShares Semiconductor ETF ,0.012728316225766914,0.0045958333333333,0.1186156966860323,3.0613998550091357,0.375,0.2436428571428571,0.0941785714285714,0.12125,0.0,0.4821428571428572,0.9943214285714286,0.7321428571428572,0.875,0.7053571428571428,0.4821428571428571,0.6964285714285714,0.5803571428571428,1.0,0.25,0.7142857142857143,0.6964285714285714,0.9821428571428572,0.625,0.2857142857142857,0.0,0.77,0.65,0.385,0.061855670103092786,0.03
Toast Inc.,0.012721480307702603,-0.0043541666666666,-0.1024454119016313,-2.410349263853374,0.2142857142857143,0.3344642857142857,0.1492857142857143,0.2442499999999999,0.25,0.5,0.9796428571428571,0.7678571428571428,0.7589285714285714,0.8035714285714286,0.5535714285714286,0.7410714285714286,0.2857142857142857,0.9642857142857144,0.5089285714285714,0.7321428571428572,0.2857142857142857,0.7321428571428572,0.2678571428571428,0.7053571428571428,0.0,0.34,0.26,0.46,0.5979381443298969,0.71
BLOCK INC,0.012543521132309532,0.0098125,0.3531240210591774,12.707931133656295,0.4821428571428572,0.175,0.0951785714285714,0.1261071428571428,0.0178571428571428,0.4553571428571428,0.9736785714285715,0.7410714285714286,0.5,0.75,0.3571428571428571,0.4910714285714286,0.0178571428571428,0.9910714285714286,0.7678571428571428,0.0089285714285713,0.2857142857142857,0.75,0.375,0.7321428571428572,0.0,0.09,0.79,0.26,0.2268041237113402,0.02
OKTA INC,0.012265814382834804,0.0116729166666666,0.2735474983572744,6.410414465752466,0.1964285714285714,0.3008928571428571,0.1035714285714285,0.1667857142857143,0.2946428571428572,0.5,0.9842857142857143,0.7142857142857143,0.7410714285714286,0.7857142857142856,0.5535714285714286,0.6964285714285714,0.3214285714285714,0.7053571428571428,0.7410714285714286,0.7053571428571428,0.25,0.7857142857142856,0.2589285714285714,0.7410714285714286,0.0,0.27,0.19,0.285,0.711340206185567,0.2
Axsome Therapeutics Inc.,0.012182355608723846,0.0305020833333333,0.3658399791993998,4.387860623092432,0.3125,0.3558928571428572,0.176,0.5296071428571429,0.0,0.4464285714285714,0.8539285714285715,0.7142857142857143,0.2410714285714286,0.75,0.5535714285714286,0.7678571428571428,0.1964285714285714,0.9642857142857144,0.5446428571428572,0.6607142857142857,0.4553571428571428,0.7589285714285714,0.4107142857142857,0.4464285714285714,0.0,0.26,0.64,0.09,0.23711340206185566,0.95
"Bill.com Holdings, Inc.",0.01203412061970676,0.0107708333333333,0.2805792104470929,7.309062437302657,0.2946428571428572,0.2925,0.1328214285714285,0.1600714285714285,0.2321428571428571,0.4553571428571428,0.8906428571428572,0.75,0.7232142857142857,0.75,0.4821428571428571,0.5267857142857143,0.2767857142857143,0.9553571428571428,0.7410714285714286,0.7321428571428572,0.4464285714285714,0.7589285714285714,0.2946428571428572,0.7589285714285714,0.0,0.35,0.575,0.4,0.4690721649484536,0.38
Monday.com Ltd.,0.011964796768481504,0.0345208333333333,0.7911565161302886,18.13190970714541,0.0357142857142857,0.3114285714285714,0.1455357142857143,0.2255714285714285,0.4910714285714286,0.5267857142857143,0.9970357142857142,0.7410714285714286,0.75,0.7946428571428572,0.5357142857142857,0.7410714285714286,0.75,0.9910714285714286,0.4553571428571428,1.0,0.4821428571428572,0.7678571428571428,0.3839285714285714,0.75,0.0,0.82,0.11,0.42,0.7525773195876289,0.63
