Asset,w,Alpha,t-value,iKelly-weight,Valuation Score100,Tenbagger Probability100,Return100,Growth Rate100,Defensive Score100,Risk Score100,Bankruptcy Score100,Future Moat Score100,AI Winner Score100,Good Business Score100,Tariff Winner Score100,Sentiment Score100,Good Governance Score100,Market Disruptor Score100,Oversold Score100,Management Score100,Better World Score100,Marketability Score100,Clean Earnings Score100,Scalability Score100,Odds of Outperformance Score100,hard-sell,Cat-Integrity,Cat-Market,Cat-Quality,Cat-Resilience,Cat-Upside
NETEASE INC,0.01762845831205584,0.0019583333333333,0.0543313290797934,1.5073497802094329,0.6964285714285714,0.3728571428571428,0.1007499999999999,0.0773214285714285,0.5178571428571428,0.6875,0.9911785714285715,0.7321428571428572,0.7589285714285714,0.75,0.3571428571428571,0.7321428571428572,0.7321428571428572,0.75,0.4553571428571428,0.7589285714285714,0.4910714285714286,0.7410714285714286,0.5535714285714286,0.7767857142857144,0.7321428571428572,0.0,0.5670103092783505,0.8969072164948454,0.5360824742268041,0.9587628865979382,0.16494845360824742
META PLATFORMS INC,0.017480382916933764,-0.0011895833333333,-0.037586558395892,-1.1876001726496384,0.4375,0.607,0.1068928571428571,0.1378928571428571,0.2767857142857143,0.4821428571428572,0.9976071428571429,0.7232142857142857,0.9732142857142856,0.75,0.3214285714285714,0.75,0.5178571428571428,0.7767857142857144,0.4642857142857143,0.7410714285714286,0.2678571428571428,0.9821428571428572,0.75,0.9553571428571428,0.7589285714285714,0.0,0.36597938144329895,0.7525773195876289,0.7010309278350515,0.16494845360824742,0.44329896907216493
ACM Research Inc.,0.017192205982020353,0.0512291666666666,0.5820213242138566,6.612421085117222,0.6785714285714286,0.4476785714285713,0.1479285714285714,0.1492928571428571,0.2321428571428571,0.5089285714285714,0.9192142857142858,0.7053571428571428,0.7410714285714286,0.7410714285714286,0.7321428571428571,0.75,0.4910714285714286,0.7767857142857144,0.25,0.7142857142857143,0.5178571428571428,0.6964285714285714,0.2678571428571428,0.5535714285714286,0.7053571428571428,0.0,0.14432989690721648,0.8247422680412371,0.23711340206185566,0.7525773195876289,0.711340206185567
TRADE DESK INC,0.01697225841296151,0.040625,0.7692814654120642,14.567236259114656,0.2946428571428572,0.5993571428571428,0.1474285714285714,0.2060357142857142,0.2678571428571428,0.5267857142857143,0.9979285714285715,0.75,0.9732142857142856,0.7946428571428572,0.5,0.75,0.7410714285714286,0.9910714285714286,0.4196428571428572,0.7589285714285714,0.4732142857142857,0.75,0.5089285714285714,0.8035714285714286,0.75,0.0,0.5051546391752577,0.6391752577319587,0.845360824742268,0.44329896907216493,0.8969072164948454
"Synopsys, Inc.",0.016799434285541832,0.0211458333333333,0.5483763374617208,14.221080945242056,0.2410714285714286,0.4152142857142857,0.1400357142857143,0.156,0.5535714285714286,0.5714285714285714,0.9947857142857143,0.9642857142857144,0.9821428571428572,0.9642857142857144,0.5178571428571429,0.7678571428571428,0.7589285714285714,0.9821428571428572,0.2767857142857143,0.75,0.75,0.9553571428571428,0.75,0.7678571428571428,0.7678571428571428,0.0,0.9690721649484536,0.3917525773195876,0.9175257731958762,0.9381443298969072,0.6391752577319587
ARISTA NETWORKS INC,0.016693162079432753,0.0312125,0.7895821741959879,19.974049172865463,0.2678571428571428,0.5966428571428571,0.1230357142857142,0.1475357142857143,0.4732142857142857,0.7410714285714286,0.9985714285714286,0.7678571428571428,0.9821428571428572,0.75,0.3214285714285714,0.7678571428571428,0.75,0.9464285714285714,0.2767857142857143,0.8035714285714286,0.7053571428571428,0.7857142857142856,0.7142857142857143,0.9464285714285714,0.7946428571428572,0.0,0.8969072164948454,0.5463917525773195,0.7422680412371134,0.7731958762886598,0.5360824742268041
"Cadence Design Systems, Inc.",0.016487051752118145,0.0193333333333333,0.3584739852224148,6.646737831788279,0.2142857142857143,0.605,0.1038214285714285,0.1392142857142857,0.6964285714285714,0.5446428571428572,0.9964642857142858,0.9732142857142856,0.9910714285714286,0.7589285714285714,0.6428571428571429,0.7321428571428572,0.7142857142857143,0.9732142857142856,0.2767857142857143,0.7767857142857144,0.7410714285714286,0.7946428571428572,0.7321428571428572,0.8035714285714286,0.875,0.0,0.8556701030927835,0.27835051546391754,0.9072164948453608,0.8865979381443299,0.4329896907216495
MASTERCARD INC,0.016303586322340875,0.00063125,0.0140424244223548,0.3123796968832463,0.25,0.2831071428571428,0.1359642857142857,0.1390357142857143,0.75,0.5446428571428572,0.9987142857142858,0.9553571428571428,0.7767857142857144,1.0,0.4464285714285714,0.75,0.75,0.9464285714285714,0.4821428571428572,0.875,0.625,1.0,0.9464285714285714,1.0,0.9553571428571428,0.0,0.9587628865979382,0.4536082474226804,0.8556701030927835,0.8144329896907216,0.41237113402061853
MICROSOFT CORP,0.016171215568510904,-0.001875,-0.0391643971314359,-0.8180533347567076,0.2767857142857143,0.2192857142857143,0.1173571428571428,0.136,0.7678571428571428,0.7767857142857144,0.9990714285714286,0.9910714285714286,1.0,1.0,0.6071428571428571,0.7946428571428572,0.75,1.0,0.25,0.9910714285714286,0.5535714285714286,1.0,0.7946428571428572,0.9732142857142856,0.9910714285714286,0.0,0.9484536082474226,0.6082474226804123,0.9896907216494846,0.8969072164948454,0.15463917525773196
"Intuitive Surgical, Inc.",0.015724456225030187,0.009375,0.1919875636608309,3.931650624044973,0.2410714285714286,0.2544642857142857,0.1068928571428571,0.1338928571428571,0.4910714285714286,0.5625,0.9978571428571429,0.7857142857142856,0.9553571428571428,0.9910714285714286,0.3035714285714286,0.75,0.75,1.0,0.6875,0.9553571428571428,0.7321428571428572,0.9464285714285714,0.75,0.7321428571428572,0.7678571428571428,0.0,0.979381443298969,0.4329896907216495,0.7731958762886598,0.7835051546391752,0.13402061855670103
KUAISHOU TECHNOLOGY,0.015390286757509725,-0.0027604166666666,-0.0987425341113296,-3.5321073664218954,0.5446428571428572,0.3369642857142857,0.1462857142857142,0.165,0.25,0.5,0.9793928571428572,0.5267857142857143,0.6875,0.7142857142857143,0.5892857142857143,0.7410714285714286,0.5446428571428572,0.7410714285714286,0.3035714285714286,0.625,0.5178571428571428,0.75,0.5,0.7410714285714286,0.5535714285714286,0.0,0.24742268041237114,0.7628865979381443,0.1958762886597938,0.5463917525773195,0.6494845360824743
"Paycom Software, Inc.",0.01535492498057721,0.0217083333333333,0.4444494849677825,9.09951683784079,0.3035714285714286,0.4178928571428572,0.1087499999999999,0.11975,0.7142857142857143,0.5089285714285714,0.9980000000000001,0.75,0.7142857142857143,0.7767857142857144,0.6071428571428571,0.5,0.7321428571428572,0.8035714285714286,0.5267857142857143,0.75,0.5446428571428572,0.7678571428571428,0.3928571428571428,0.7767857142857144,0.75,0.0,0.4948453608247423,0.7010309278350515,0.6288659793814433,0.7422680412371134,0.29896907216494845
KLA Corporation,0.015301144707094056,0.0031458333333333,0.0798494727441738,2.0267883329873015,0.2946428571428572,0.4385714285714286,0.1082857142857142,0.0896428571428571,0.5357142857142857,0.5,0.9938571428571429,0.9732142857142856,0.9732142857142856,0.7589285714285714,0.4285714285714286,0.75,0.7142857142857143,0.8035714285714286,0.25,0.6875,0.625,0.8035714285714286,0.5535714285714286,0.7678571428571428,0.7678571428571428,0.0,0.4536082474226804,0.6494845360824743,0.8144329896907216,0.7268041237113402,0.2268041237113402
Li Auto Inc.,0.015292060286186834,0.0265229166666666,0.8562162312245858,27.640483278137467,0.5357142857142857,0.36,0.1455357142857143,0.2386428571428571,0.2767857142857143,0.4910714285714286,0.9393928571428573,0.5089285714285714,0.5267857142857143,0.7142857142857143,0.4464285714285714,0.5089285714285714,0.625,0.7589285714285714,0.625,0.7410714285714286,0.5089285714285714,0.75,0.2767857142857143,0.4553571428571428,0.7053571428571428,0.0,0.26804123711340205,0.8041237113402062,0.08247422680412371,0.6907216494845361,0.7628865979381443
ADVANCED MICRO DEVICES INC,0.015285644354203267,0.0298812499999999,0.9000903565772352,27.112742940918956,0.1964285714285714,0.5210714285714286,0.1496428571428571,0.2561071428571428,0.25,0.6160714285714286,0.9970357142857142,0.7678571428571428,1.0,0.75,0.2857142857142857,0.75,0.75,0.9553571428571428,0.2410714285714286,0.7142857142857143,0.7410714285714286,0.9464285714285714,0.5267857142857143,0.5535714285714286,0.75,0.0,0.7010309278350515,0.18556701030927836,0.6804123711340206,0.5051546391752577,0.9690721649484536
BROADCOM INC,0.015224401633338975,0.0091604166666666,0.1630539884306662,2.902335571687732,0.2321428571428571,0.3523928571428571,0.1481071428571428,0.263,0.4821428571428572,0.5267857142857143,0.9855357142857143,0.875,1.0,0.875,0.4642857142857143,0.7946428571428572,0.75,0.875,0.2321428571428571,0.7678571428571428,0.5089285714285714,0.9464285714285714,0.5446428571428572,0.7857142857142856,0.9375,0.0,0.7216494845360825,0.3402061855670103,0.9381443298969072,0.9175257731958762,0.8762886597938144
ADYEN NV,0.015172889864663993,0.0165791666666666,0.3722804788734117,8.35945242222971,0.2410714285714286,0.4101785714285714,0.1224642857142857,0.1842857142857142,0.2857142857142857,0.5357142857142857,0.9987142857142858,0.8660714285714286,0.7946428571428572,0.8035714285714286,0.5357142857142857,0.5892857142857143,0.75,1.0,0.3125,0.7589285714285714,0.5446428571428572,0.7321428571428572,0.7410714285714286,0.9642857142857144,0.7678571428571428,0.0,0.845360824742268,0.3711340206185567,0.865979381443299,0.4742268041237113,0.5876288659793815
INTUIT INC,0.014860797861500573,-0.0028749999999999,-0.0614866088819567,-1.3149923728009452,0.2321428571428571,0.3897142857142857,0.1348571428571428,0.1546785714285714,0.625,0.4553571428571428,0.9968214285714286,0.875,0.9464285714285714,0.7857142857142856,0.5535714285714286,0.7589285714285714,0.75,0.875,0.2767857142857143,0.7678571428571428,0.5089285714285714,0.9642857142857144,0.6964285714285714,0.7857142857142856,0.7589285714285714,0.0,0.7525773195876289,0.32989690721649484,0.8041237113402062,0.30927835051546393,0.5567010309278351
Vertex Pharmaceuticals Inc.,0.014756790319361389,0.0002958333333333,0.0083530611790219,0.2358545275283937,0.3125,0.3148928571428571,0.1327499999999999,0.16375,0.7410714285714286,0.5,0.9959285714285715,0.7589285714285714,0.7142857142857143,0.7678571428571428,0.7321428571428571,0.7142857142857143,0.75,0.9732142857142856,0.5,0.75,0.7410714285714286,0.875,0.5267857142857143,0.5178571428571428,0.75,0.0,0.8144329896907216,0.7216494845360825,0.4742268041237113,0.7268041237113402,0.4742268041237113
Constellation Software Inc.,0.014590949464678229,0.0494791666666666,0.8529758514044541,14.704528230652365,0.2321428571428571,0.3903571428571428,0.1213571428571428,0.1601428571428572,0.7321428571428572,0.5178571428571428,0.9833214285714286,0.7589285714285714,0.4910714285714286,0.75,0.7142857142857143,0.7321428571428572,0.7410714285714286,0.875,0.5178571428571428,0.7678571428571428,0.5,0.7410714285714286,0.75,0.75,0.7678571428571428,0.0,0.7422680412371134,0.36082474226804123,0.4536082474226804,1.0,0.4536082474226804
"DexCom, Inc.",0.014393660075992592,0.0204166666666666,0.3909465834620159,7.486003156928472,0.2589285714285714,0.3723214285714286,0.1544285714285714,0.2062857142857142,0.4464285714285714,0.4910714285714286,0.9833928571428572,0.75,0.6964285714285714,0.75,0.3214285714285714,0.75,0.7142857142857143,1.0,0.5089285714285714,0.75,0.7410714285714286,0.8035714285714286,0.5089285714285714,0.625,0.7410714285714286,0.0,0.6494845360824743,0.44329896907216493,0.4020618556701031,0.6597938144329897,0.8350515463917526
Axsome Therapeutics Inc.,0.01437729400158647,0.0305020833333333,0.3658399791993998,4.387860623092432,0.5714285714285714,0.2467857142857143,0.1694642857142857,0.635,0.2410714285714286,0.4910714285714286,0.8498214285714286,0.7321428571428572,0.2142857142857143,0.7232142857142857,0.5535714285714286,0.7857142857142856,0.7142857142857143,0.7678571428571428,0.7142857142857143,0.7589285714285714,0.5267857142857143,0.7410714285714286,0.3035714285714286,0.5357142857142857,0.7321428571428572,0.0,0.4845360824742268,0.8762886597938144,0.15463917525773196,0.6237113402061856,0.9175257731958762
SUPER MICRO COMPUTER INC,0.014293696193383552,0.0486979166666666,0.5962648982359182,7.300760550022638,0.2678571428571428,0.4133928571428572,0.1673571428571428,0.2095357142857143,0.2321428571428571,0.4821428571428572,0.9735357142857143,0.7232142857142857,0.9910714285714286,0.75,0.5714285714285714,0.7232142857142857,0.3839285714285714,0.9821428571428572,0.3839285714285714,0.7142857142857143,0.375,0.7410714285714286,0.25,0.3125,0.7410714285714286,0.0,0.05154639175257732,0.4639175257731959,0.5979381443298969,0.31958762886597936,0.9072164948453608
APPLOVIN CORP,0.014044371890614539,0.022875,0.6048356183251518,15.9923989156183,0.25,0.3796428571428571,0.1567142857142857,0.2356785714285714,0.2410714285714286,0.4821428571428572,0.9763571428571429,0.7321428571428572,0.7946428571428572,0.75,0.3392857142857143,0.7589285714285714,0.7053571428571428,0.7589285714285714,0.4553571428571428,0.7410714285714286,0.2589285714285714,0.7767857142857144,0.3660714285714286,0.7857142857142856,0.7589285714285714,0.0,0.23711340206185566,0.422680412371134,0.6185567010309279,0.33505154639175255,0.8556701030927835
"Airbnb, Inc.",0.013771832187263484,-0.0026375,-0.0861326169334611,-2.8128256681730237,0.2946428571428572,0.2856785714285714,0.1116428571428571,0.1323571428571428,0.2410714285714286,0.5,0.9858214285714286,0.7410714285714286,0.7053571428571428,0.7589285714285714,0.4285714285714286,0.5,0.75,0.9642857142857144,0.5089285714285714,0.75,0.2678571428571428,0.75,0.7410714285714286,0.7946428571428572,0.75,0.0,0.6288659793814433,0.6597938144329897,0.6082474226804123,0.35051546391752575,0.20618556701030927
ZSCALER INC,0.013710601564669052,0.058875,1.0147798770005112,17.490924819790617,0.1964285714285714,0.2897142857142857,0.1355357142857142,0.2558928571428571,0.2678571428571428,0.5,0.98,0.875,1.0,0.75,0.7321428571428571,0.7410714285714286,0.7589285714285714,1.0,0.2857142857142857,0.75,0.75,0.7678571428571428,0.7053571428571428,0.75,0.7589285714285714,0.0,0.9072164948453608,0.2268041237113402,0.8247422680412371,0.6030927835051546,0.7422680412371134
PALO ALTO NETWORKS INC,0.01355013662071955,0.0223125,0.5467274596183913,13.396567623564351,0.1964285714285714,0.2573214285714286,0.1229642857142857,0.1806785714285714,0.5178571428571428,0.5,0.9842857142857143,0.875,0.9464285714285714,0.7589285714285714,0.6785714285714286,0.75,0.7410714285714286,0.9910714285714286,0.4732142857142857,0.75,0.7321428571428572,0.8035714285714286,0.7410714285714286,0.75,0.7142857142857143,0.0,0.8350515463917526,0.1958762886597938,0.7628865979381443,0.8041237113402062,0.3917525773195876
Shopify Inc.,0.013504314101441314,0.0118979166666666,0.3579110520883907,10.766617786616878,0.1339285714285714,0.3718571428571428,0.1446428571428571,0.1990357142857143,0.2232142857142857,0.5178571428571428,0.9889285714285715,0.7767857142857144,0.6517857142857143,0.7589285714285714,0.375,0.7232142857142857,0.7410714285714286,1.0,0.2857142857142857,0.75,0.6964285714285714,0.7767857142857144,0.7410714285714286,0.7589285714285714,0.75,0.0,0.7628865979381443,0.17525773195876287,0.6391752577319587,0.4175257731958763,0.7319587628865979
"MongoDB, Inc.",0.013377390147993152,0.048875,0.9764482875429328,19.507954132900792,0.2678571428571428,0.22,0.1162857142857142,0.1663571428571428,0.25,0.5,0.9863928571428572,0.75,0.7767857142857144,0.75,0.5178571428571429,0.75,0.7410714285714286,0.9642857142857144,0.4642857142857143,0.75,0.625,0.75,0.4642857142857143,0.6964285714285714,0.75,0.0,0.5773195876288659,0.4948453608247423,0.5154639175257731,0.38144329896907214,0.24742268041237114
PURE STORAGE INC,0.013295951792427041,0.0003229166666666,0.0089892427962861,0.2502394406727711,0.2767857142857143,0.2025,0.1457857142857143,0.2476785714285714,0.3035714285714286,0.5178571428571428,0.9839285714285715,0.7053571428571428,0.7767857142857144,0.75,0.6607142857142857,0.75,0.7589285714285714,0.7678571428571428,0.5089285714285714,0.75,0.7410714285714286,0.75,0.7321428571428572,0.7232142857142857,0.7321428571428572,0.0,0.9175257731958762,0.5670103092783505,0.3917525773195876,0.8556701030927835,0.6701030927835051
WORKDAY INC,0.013238281304280381,-0.0042291666666666,-0.1584509786395609,-5.936562592749066,0.2232142857142857,0.2403571428571428,0.1246071428571428,0.18375,0.4910714285714286,0.5178571428571428,0.9911428571428572,0.7946428571428572,0.7589285714285714,0.75,0.6428571428571429,0.7321428571428572,0.75,0.875,0.5446428571428572,0.7142857142857143,0.5178571428571428,0.7678571428571428,0.7678571428571428,0.7678571428571428,0.7410714285714286,0.0,0.6907216494845361,0.29896907216494845,0.6494845360824743,0.8247422680412371,0.36082474226804123
Monday.com Ltd.,0.012995711912289529,0.0345208333333333,0.7911565161302886,18.13190970714541,0.2142857142857143,0.21375,0.1618571428571428,0.2703928571428571,0.2857142857142857,0.5267857142857143,0.9948214285714286,0.6875,0.7232142857142857,0.75,0.5357142857142857,0.75,0.7410714285714286,0.75,0.4910714285714286,0.7142857142857143,0.7053571428571428,0.7321428571428572,0.7232142857142857,0.7410714285714286,0.625,0.0,0.6391752577319587,0.21649484536082475,0.28865979381443296,0.6494845360824743,0.7835051546391752
OKTA INC,0.012994961873267498,0.0116729166666666,0.2735474983572744,6.410414465752466,0.2232142857142857,0.2580357142857143,0.1094642857142857,0.1683214285714285,0.2857142857142857,0.4821428571428572,0.9857142857142858,0.7410714285714286,0.7678571428571428,0.75,0.5535714285714286,0.7053571428571428,0.5535714285714286,0.7767857142857144,0.5,0.5535714285714286,0.625,0.7589285714285714,0.6428571428571428,0.7142857142857143,0.625,0.0,0.31958762886597936,0.25773195876288657,0.4329896907216495,0.4175257731958763,0.32989690721649484
iShares Semiconductor ETF ,0.012870537562777421,0.0045958333333333,0.1186156966860323,3.0613998550091357,0.3035714285714286,0.1914285714285714,0.0952142857142857,0.1173214285714285,0.0535714285714286,0.4910714285714286,0.99975,0.7053571428571428,0.9821428571428572,0.7232142857142857,0.4821428571428571,0.7410714285714286,0.75,0.7589285714285714,0.4642857142857143,0.7142857142857143,0.4464285714285714,0.7589285714285714,0.5357142857142857,0.4910714285714286,0.7142857142857143,0.0,0.4639175257731959,0.6804123711340206,0.3711340206185567,0.05154639175257732,0.020618556701030927
ON SEMICONDUCTOR CORP,0.01272809088318122,0.00119375,0.0246775098018055,0.5101398869262471,0.2857142857142857,0.1754285714285714,0.1173571428571428,0.1888214285714285,0.2857142857142857,0.4732142857142857,0.9842857142857143,0.7321428571428572,0.9553571428571428,0.75,0.5178571428571429,0.4642857142857143,0.75,0.7589285714285714,0.4910714285714286,0.7321428571428572,0.5357142857142857,0.7589285714285714,0.4642857142857143,0.4821428571428572,0.7232142857142857,0.0,0.5154639175257731,0.5876288659793815,0.4639175257731959,0.3711340206185567,0.21649484536082475
